code,name,account_type,reconcile
11350203,حصيلة بيع أصول غير انتاجية (أراضى),income,True
11350204,حصيلة بيع أصول انتاجية (مساكن وسيارات وغيرها),income,True
11350205,ايرادات رأسمالية أخرى,income,True
12000000,المتحصلات من الحيازة,income,False
12400000,لباب الرابع المتحصلات من الإقراض ومبيعات الاصول المالية وغيرها من الاصول,income,False
12410000,متحصلات الاقراض ومبيعات الاصول المالية المحلية,income,False
12410100,متحصلات من أوراق  مالية بخلاف الأسهم,income,False
12410101,سندات,income,True
12410102,أذون,income,True
12410103,أخرى,income,True
12410200,أقساط محصلة من الاقراض,income,False
12410201,من بنك الاستثمار,income,True
12410202,من الهيئات الاقتصادية,income,True
12410203,من الشركات القابضة,income,True
12410204,من شركات قطاع الاعمال العام,income,True
12410205,من شركات القطاع العام,income,True
12410206,من أقساط القروض الخارجية المعاد إقراضها من الخزانة العامة,income,True
12410207,من الجهات الأخرى,income,True
12410300,المتحصلات من بيع الاصول وحقوق الملكية,income,False
12410301,من بنك الاستثمار,income,True
12410302,من هيئات اقتصادية,income,True
12410303,من شركات قابضة,income,True
12410304,من شركات قطاع أعمال عام,income,True
12410305,من شركات قطاع عام,income,True
12410306,من جهات أخرى,income,True
12410400,الخصخصة,income,False
12410401,حصيلة الخصخصة,income,True
12420000,متحصلات الاقراض ومبيعات الاصول المالية الإجنبية,income,False
12420100,متحصلات اوراق مالية بخلاف الاسهم,income,False
12420101,سندات,income,True
12420102,أذون,income,True
12420103,اخرى,income,True
12420200,أقساط محصلة من الاقراض,income,False
12420201,من الجهات الاخرى,income,True
12420300,المتحصلات من بيع الاصول وحقوق الملكية,income,False
12420301,من الجهات الاخرى,income,True
13000000,مصادر التمويل,income,False
13500000,الباب الخامس - الاقتراض وإصدار الأوراق المالية بخلاف الأسهم,income,False
13510000,الاقتراض واصدار الاوراق المالية المحلية,income,False
13510100,أصدار أوراق مالية بخلاف الاسهم,income,False
13510101,سندات على الخزانة العامة,income,True
13510102,اذون على الخزانة العامة,income,True
13510103,اخرى,income,True
13510200,الاقتراض,income,False
13510201,من بنك الاستثمار القومى لتمويل الاستثمارات,income,True
13510202,من بنك الاستثمار القومى لتمويل اغراض اخرى,income,True
